Model,Display Size,Display Technology,Pixel Density,Battery Capacity,Camera Resolution,CPU Manufacturing,Operating System,RAM,Internal Storage,Refresh Rate,5g,Price,Waterproof,Dustproof,ProductID
Samsung Galaxy M15 5G,6.5,Super AMOLED,396,6000,50,6,Android,4,128,90,1,10058,0,0,931770
realme C75,6.72,IPS LCD,392,5828,50,12,Android,8,256,90,0,9109,9,6,972395
Vivo Y29,6.68,IPS LCD,264,6500,50,6,Android,8,256,120,0,13564,4,6,962622
Redmi Note 12,6.67,AMOLED,395,5000,50,6,Android,8,128,120,0,8981,3,5,845864
realme 11 4G,6.4,Super AMOLED,411,5000,108,6,Android,8,128,90,0,8993,0,0,930523
Infinix Hot 40 Pro,6.78,IPS LCD,396,5000,108,6,Android,8,128,120,0,12349,0,0,854787
Tecno Spark 30,6.78,IPS LCD,396,5000,64,12,Android,8,256,90,0,8349,4,6,937633
Samsung Galaxy A24,6.5,Super AMOLED,396,5000,50,6,Android,6,128,90,0,10508,0,0,974572
Huawei Nova 12 SE,6.67,OLED,395,4500,108,6,Android,8,256,90,0,16999,0,0,849371
Redmi Note 12,6.67,AMOLED,395,5000,50,6,Android,6,128,120,0,9816,3,5,875692
realme 12 Lite,6.72,IPS LCD,392,5000,108,6,Android,8,256,90,0,8139,4,5,974879
realme C75,6.72,IPS LCD,392,5828,50,12,Android,8,128,90,0,7999,9,6,918684
Samsung Galaxy M14 5G,6.6,PLS,400,6000,50,5,Android,4,128,90,1,11717,0,0,922769
Vivo Y36,6.64,IPS LCD,395,5000,50,6,Android,8,256,90,0,10300,4,5,860896
Samsung Galaxy A16,6.7,Super AMOLED,385,5000,50,6,Android,6,128,90,0,8499,4,5,943988
Samsung Galaxy A15,6.5,Super AMOLED,396,5000,50,6,Android,6,128,90,0,11000,0,0,914659
Omix X7,6.78,IPS LCD,396,5000,50,6,Android,8,128,120,0,7679,0,0,940469
Infinix Hot 30,6.78,IPS LCD,396,5000,50,12,Android,8,256,90,0,7867,0,0,992006
Vivo Y28,6.68,IPS LCD,264,6000,50,12,Android,8,256,90,0,8819,4,6,964530
