ProductID,ImageUrl,Model,Price,Model,Display Size,Display Technology,Pixel Density,Battery Capacity,Camera Resolution,CPU Manufacturing,Operating System,RAM,Internal Storage,Refresh Rate,5G,Suya dayanıklılık,Toza dayanıklılık
1001486,https://resim.epey.com/1001486/b_poco-f7-pro-512gb-1.png,Poco F7 Pro 12 GB RAM 512 GB,35999,Poco F7 Pro,6.67 İnç,AMOLED,526 PPI,6000 mAh,50 MP,4 nm,Android,12 GB,512 GB,120 Hz,Var,IPX8,IP6X
809145,https://resim.epey.com/809145/b_apple-iphone-14-pro-512gb-3.png,Apple iPhone 14 Pro 6 GB RAM 512 GB,91999,Apple iPhone 14 Pro,6.1 İnç,OLED,460 PPI,3200 mAh,48 MP,4 nm,iOS,6 GB,512 GB,120 Hz,Var,IPX8,IP6X
960853,https://resim.epey.com/960853/b_apple-iphone-16-256gb-2.png,Apple iPhone 16 8 GB RAM 256 GB,63499,Apple iPhone 16,6.1 İnç,OLED,460 PPI,3561 mAh,48 MP,3 nm,iOS,8 GB,256 GB,60 Hz,Var,IPX8,IP6X
840975,https://resim.epey.com/840975/b_samsung-galaxy-s23-ultra-10.jpg,Samsung Galaxy S23 Ultra 8 GB RAM 256 GB,43610,Samsung Galaxy S23 Ultra,6.8 İnç,Dynamic AMOLED,500 PPI,5000 mAh,200 MP,4 nm,Android,8 GB,256 GB,120 Hz,Var,IPX8,IP6X
802361,https://resim.epey.com/802361/b_apple-iphone-14-pro-max-2.png,Apple iPhone 14 Pro Max 6 GB RAM 128 GB,65562,Apple iPhone 14 Pro Max,6.7 İnç,OLED,460 PPI,4323 mAh,48 MP,4 nm,iOS,6 GB,128 GB,120 Hz,Var,IPX8,IP6X
955563,https://resim.epey.com/955563/b_samsung-galaxy-z-fold6-2.png,Samsung Galaxy Z Fold6 12 GB RAM 256 GB,69900,Samsung Galaxy Z Fold6,6.3 İnç,Dynamic AMOLED,407 PPI,4400 mAh,50 MP,4 nm,Android,12 GB,256 GB,120 Hz,Var,IPX8,IP4X
945305,https://resim.epey.com/945305/b_realme-gt-6-1.png,realme GT 6 16 GB RAM 512 GB,35899,realme GT 6,6.78 İnç,AMOLED,450 PPI,5500 mAh,50 MP,4 nm,Android,16 GB,512 GB,120 Hz,Var,IPX5,IP6X
841686,https://resim.epey.com/841686/b_oneplus-11-2.png,OnePlus 11 16 GB RAM 256 GB,39300,OnePlus 11,6.7 İnç,AMOLED,525 PPI,5000 mAh,50 MP,4 nm,Android,16 GB,256 GB,120 Hz,Var,IPX4,IP6X
963406,https://resim.epey.com/963406/b_xiaomi-14t-512gb-1.png,Xiaomi 14T 12 GB RAM 512 GB,26998,Xiaomi 14T,6.67 İnç,AMOLED,446 PPI,5000 mAh,50 MP,4 nm,Android,12 GB,512 GB,144 Hz,Var,IPX8,IP6X
884234,https://resim.epey.com/884234/b_samsung-galaxy-z-fold5-1tb-1.png,Samsung Galaxy Z Fold5 12 GB RAM,52379,Samsung Galaxy Z Fold5,6.2 İnç,Super AMOLED,402 PPI,4400 mAh,50 MP,4 nm,Android,12 GB,1 TB,120 Hz,Var,IPX8,
809144,https://resim.epey.com/809144/b_apple-iphone-14-pro-256gb-3.png,Apple iPhone 14 Pro 6 GB RAM 256 GB,78000,Apple iPhone 14 Pro,6.1 İnç,OLED,460 PPI,3200 mAh,48 MP,4 nm,iOS,6 GB,256 GB,120 Hz,Var,IPX8,IP6X
941058,https://resim.epey.com/941058/b_honor-200-pro-13.png,Honor 200 Pro 12 GB RAM 512 GB,29499,Honor 200 Pro,6.78 İnç,AMOLED,437 PPI,5200 mAh,50 MP,4 nm,Android,12 GB,512 GB,120 Hz,Var,IPX5,IP6X
973688,https://resim.epey.com/973688/b_oppo-reno-13-pro-2.png,Oppo Reno 13 Pro 5G 12 GB RAM 512 GB,38449,Oppo Reno 13 Pro 5G,6.83 İnç,AMOLED,450 PPI,5800 mAh,50 MP,4 nm,Android,12 GB,512 GB,120 Hz,Var,IPX9,IP6X
757414,https://resim.epey.com/757414/b_samsung-galaxy-s22-ultra-512gb-2.png,Samsung Galaxy S22 Ultra 12 GB RAM 512 GB,54497,Samsung Galaxy S22 Ultra,6.8 İnç,Dynamic AMOLED,500 PPI,5000 mAh,108 MP,4 nm,Android,12 GB,512 GB,120 Hz,Var,IPX8,IP6X
994887,https://resim.epey.com/994887/b_apple-iphone-16e-512gb-1.png,Apple iPhone 16e 8 GB RAM 512 GB,60000,Apple iPhone 16e,6.1 İnç,OLED,460 PPI,4005 mAh,48 MP,3 nm,iOS,8 GB,512 GB,60 Hz,Var,IPX8,IP6X
959779,https://resim.epey.com/959779/b_apple-iphone-16-2.png,Apple iPhone 16 8 GB RAM 128 GB,54999,Apple iPhone 16,6.1 İnç,OLED,460 PPI,3561 mAh,48 MP,3 nm,iOS,8 GB,128 GB,60 Hz,Var,IPX8,IP6X
958540,https://resim.epey.com/958540/b_xiaomi-14t-1.png,Xiaomi 14T 12 GB RAM 256 GB,26199,Xiaomi 14T,6.67 İnç,AMOLED,446 PPI,5000 mAh,50 MP,4 nm,Android,12 GB,256 GB,144 Hz,Var,IPX8,IP6X
963088,https://resim.epey.com/963088/b_nubia-red-magic-9s-pro-512gb-2.png,Nubia Red Magic 9S Pro 16 GB RAM 512 GB,55499,Nubia Red Magic 9S Pro,6.8 İnç,AMOLED,400 PPI,6500 mAh,50 MP,4 nm,Android,16 GB,512 GB,120 Hz,Var,,
